Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcEntryLogs;4.0.0;25;8;11;0;0;5;1;5;1;8;78;91;169;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/readEntry;4.0.0;32;7;7;0;3;2;21;11;2;6;19;6;25;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/findFile;4.0.0;6;3;3;0;1;2;2;2;1;3;11;2;13;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/extractLedgersFromEntryLogs;4.0.0;43;10;12;0;0;4;3;10;1;9;104;87;191;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/readEntry;4.0.0;32;9;13;0;1;6;5;8;1;5;9;13;22;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java/setLedgerDirNames;4.0.0;12;2;1;0;1;1;3;0;1;2;2;2;4;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/asyncGetLedgersInSingleNode;4.0.0;20;3;2;0;2;1;1;0;1;2;26;0;26;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/processResult;4.0.0;9;3;2;0;3;1;3;0;1;2;19;0;19;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/doAsyncGetLedgersInSingleNode;4.0.0;21;6;7;0;2;3;1;2;1;2;53;0;53;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/processResult;4.0.0;18;6;7;0;4;3;5;2;1;2;45;0;45;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/getLedgersInSingleNode;4.0.0;26;4;3;0;1;1;5;1;2;4;32;5;37;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/operationComplete;4.0.0;7;2;1;0;2;1;1;0;1;2;10;2;12;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/asyncProcessLedgersInSingleNode;4.0.0;42;5;4;0;6;1;1;2;1;2;4;3;7;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/operationComplete;4.0.0;13;5;4;0;2;1;5;2;1;2;3;3;6;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java/isSpecialZnode;4.0.0;11;2;1;0;1;1;2;0;1;1;2;1;3;1;Yes
