Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setBlobAsObject;0.9.0;6;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setPrimaryKeyOnJoin;0.9.0;5;1;0;1;1;0;1;0;1;1;2;0;2;1;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setUseDataStoreIdentity;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setUseBuiltinIdentityClass;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setInverseRelations;0.9.0;6;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setDetachable;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setDiscriminatorStrategy;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setVersionStrategy;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setInnerIdentityClasses;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setIdentityClassSuffix;0.9.0;6;1;0;1;1;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/setMetadata;0.9.0;5;1;0;1;1;0;1;0;1;0;0;0;0;0;No
